	Restaurant	Food restrictions	Menu	Menu Eng
0	Luovuus kukkii kaaoksesta	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Päivän menu : Valitse 4 annosta listalta + juurileipäHuomioimme menussa etukäteen ilmoitetut erityisruokavaliot ja allergiat.Alkaen 60 €Lisäksi:Yksittäiset annokset 14€ - 24€Juustot 13€Jälkiruoka 10 - 15€	Mains / menu of the day: choose 4 servings from the menu + root bread we take into account the special diets and allergies announced in advance.From 60 €plus: individual portions 14€ - 24€cheeses 13 € dessert 10-15€
1	Ravintola MyStuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Pieni lämmin Gruyère -leipä	Starters / small warm Gruyère bread
2	Ravintola MyStuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Makumatka Alpeille : sveitsiläiset juustot, ilmakuivattu kinkku, kauden hillo	Starters | tasting trip to the Alps: Swiss cheeses, air-dried ham, seasonal jam
3	Ravintola MyStuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Pekoni Flammkuchen : creme fraiche, sinihomejuusto, pekoni, kuivattu viikuna, rucola ja pikkelöity punasipuli ohuella ja rapeaksi paistetulla (hiivattomalla) taikinapohjalla	Starters | Bacon Flammkuchen: creme fraiche, blue cheese, bacon, dried fig, arugula and pickled red onion on a thin and crispy fried (yeast-free) dough base
4	Ravintola MyStuu	['Gluten-free', 'Vegan', 'Vegetarian']	Fondue | Juustofondue : Autenttinen sveitsiläinen juustofondue 35€/per henkilö	Fondue / cheese fondue: authentic Swiss cheese fondue 35€/per person
5	Ravintola MyStuu	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Cordon Bleu “Sveitsin klassikko” : porsaan ulkofile, Gruyèrellä ja kinkulla täytetty paneroitu leike, ranskalaiset ja sitruunamajoneesi	"Mains / Cordon Bleu "" Swiss classic”: pork sirloin, breaded cut stuffed with Gruyère and ham, fries and lemon mayonnaise"
6	Ravintola MyStuu	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Veggie Älplermagronen : sveitsiläinen makarooni-perunapaistos, Gruyère, kirsikkatomaatit, herkkusienet, omenahillo, saatavilla pekonilla 22 €	Mains / Veggie Älplermagronen: Swiss macaroni potato roast, Gruyère, cherry tomatoes, champignons, apple jam, available with bacon 22 €
7	Ravintola MyStuu	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Vasikkaa “Zürichin tapaan” : vasikan ulkofile, röstiperuna, kermainen herkkusienikastike ja pikkelöity punakaali	Mains / Veal “like Zurich” : veal sirloin, hash browns, creamy mushroom sauce and pickled red cabbage
8	Gaucho	['Gluten-free', 'Vegan', 'Vegetarian']	Salads | Mozzarella & rucolasalaatti	Salads / Mozzarella & arugula salad
9	Gaucho	['Gluten-free', 'Vegan', 'Vegetarian']	Salads | Caesarsalaatti	Salads / Caesar Salad
10	Gaucho	['Gluten-free', 'Vegan', 'Vegetarian']	Pork | Ribs & Gaucho Bbq Marinadi	Pork / Ribs & Gaucho Bbq Marinade
11	Gaucho	['Gluten-free', 'Vegan', 'Vegetarian']	Pork | Chorizo	Pork / Chorizo
12	Gaucho	['Gluten-free', 'Vegan', 'Vegetarian']	Beef | Picanha	Beef / Picanha
13	Gaucho	['Gluten-free', 'Vegan', 'Vegetarian']	Beef | Filet mignon - Sisäfile	Beef / Filet mignon Tenderloin
14	Finlandia Caviar	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | KAVIAARI KANANMUNAPEDILLÄ (2KPL) : Finlandia Caviar Selection -kaviaari kruunaa kevyesti keitetyn kananmunan, johon on sekoitettu tryffelivoita ja merisuolaa. Tarjoillaan kuoren sisältä.	Mains / caviar with egg pad (2pc) : Finlandia Caviar Selection-caviar crowns a lightly boiled egg mixed with truffle butter and sea salt. Served from inside the shell.
15	Finlandia Caviar	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | HUMMERIHODARI KAVIAARILLA : Hummerinlihaa 100 g ja 10 g Finlandia Caviar Selection – kaviaaria.	Mains / lobster dog with caviar: 100 g lobster meat and 10 g Finlandia Caviar Selection caviar.
16	Finlandia Caviar	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Save the date! 🥳 Finlandia Caviar birthday party : Three days! On 9-11 of October we will celebrate our 9th birthday! Join us on this special day.We will serve free desserts for all our guests who booked a table.What other surprises and special prices we have prepared for you?✔️Four Fine de Claire oysters: 9€✔️ Six different oysters: 19€✔️Set of three caviar caps: 19€✔️Lobster roll 19€❗️Important! We have limited amount of seats. Please make sure you book a table in advance.	Mains / Save the date! 🥳 Finlandia Caviar birthday party: Three days! On 9-11 of October we will celebrate our 9th birthday! Join us on this special day.We will serve free desserts for all our guests who booked a table.What other surprises and special prices do we have prepared for you?✔️ ️ Four Fine de Claire oysters:€ 9✔️ ️ Six different oysters:€19✔️ ️ set of three caviar caps:€19✔️ ️ roll€19️️! We have limited amount of seats. Please make sure you book a table in advance.
17	Finlandia Caviar	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | KAVIAARI JA SAMPPANJAKEITTO : Kermainen keitto Finlandia Caviar Selection - kaviaarilla samppanjalla ja uppomunalla tarjollaan voissa pastetun vaalean paahtoleivän päältä	Mains / caviar and champagne soup: creamy soup with Finlandia Caviar Selection caviar with champagne and poached egg served on pale toast pasted in butter
18	Finlandia Caviar	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | TRYFFELIPASTA : Käsintehtyä tagliolini-pastaa, tryffelivoita, pecorino-juustoa, mustaa suolaa ja tuoreita tryffelilastuja.	Mains / truffle pasta: handmade tagliolini pasta, truffle butter, pecorino cheese, black salt and fresh truffle chips.
19	Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Starters | Täytetyt munakoisorullat : Paistettua munakoisoa, smetanaa, valkosipulia, yrttejä ja saksanpähkinää	Starters | stuffed eggplant rolls : fried eggplant, sour cream, garlic, herbs and Walnut
20	Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Starters | Nrbablit : Rapeaksi paistetulla naudanjauhelihalla täytetty lettu	Starters / Nrbablit: pancakes stuffed with crispy fried beef mince
21	Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Mains | Khozi Khorovac : Savuuunissa grillattua porsaan kassleria, perunoita, tuoretta salaattia ja granaattiomenakastiketta	Mains / Khozi Khorovac: pork Kassler grilled in smoke Ovens, potatoes, fresh salad and pomegranate sauce
22	Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Mains | Arishta : Perinteinen armenialainen pasta, mauste-smetanakastike, parmesaaniraastetta	Mains / Arishta: traditional Armenian pasta, spice-sour cream sauce, grated Parmesan
23	Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Mains | Pasuc Tolma	Mains / Pasuc Tolma
