Restaurant	Category	Dish	Description	Food restrictions	Source
Luovuus kukkii kaaoksesta	Mains	Päivän menu	"Valitse 4 annosta listalta + juurileipä 
Huomioimme menussa etukäteen ilmoitetut erityisruokavaliot ja allergiat. 
Alkaen 60 €
Lisäksi: 
Yksittäiset annokset 14€ - 24€ 
Juustot 13€ 
Jälkiruoka 10 - 15€"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola MyStuu	Starters	Pieni lämmin Gruyère -leipä		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola MyStuu	Starters	Makumatka Alpeille	sveitsiläiset juustot, ilmakuivattu kinkku, kauden hillo	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola MyStuu	Starters	Pekoni Flammkuchen	"creme fraiche, sinihomejuusto, pekoni, kuivattu viikuna, rucola ja pikkelöity punasipuli ohuella ja rapeaksi
paistetulla (hiivattomalla) taikinapohjalla"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola MyStuu	Fondue	Juustofondue	Autenttinen sveitsiläinen juustofondue 35€/per henkilö	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola MyStuu	Mains	Cordon Bleu “Sveitsin klassikko”	porsaan ulkofile, Gruyèrellä ja kinkulla täytetty paneroitu leike, ranskalaiset ja sitruunamajoneesi	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola MyStuu	Mains	Veggie Älplermagronen	sveitsiläinen makarooni-perunapaistos, Gruyère, kirsikkatomaatit, herkkusienet, omenahillo, saatavilla pekonilla 22 €	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola MyStuu	Mains	Vasikkaa “Zürichin tapaan”	vasikan ulkofile, röstiperuna, kermainen herkkusienikastike ja pikkelöity punakaali	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Gaucho	Salads	Mozzarella & rucolasalaatti		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Gaucho	Salads	Caesarsalaatti		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Gaucho	Pork	Ribs & Gaucho Bbq Marinadi		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Gaucho	Pork	Chorizo		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Gaucho	Beef	Picanha		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Gaucho	Beef	Filet mignon - Sisäfile		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Finlandia Caviar	Mains	KAVIAARI KANANMUNAPEDILLÄ (2KPL)	Finlandia Caviar Selection -kaviaari kruunaa kevyesti keitetyn kananmunan, johon on sekoitettu tryffelivoita ja merisuolaa. Tarjoillaan kuoren sisältä.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Finlandia Caviar	Mains	HUMMERIHODARI KAVIAARILLA	Hummerinlihaa 100 g ja 10 g Finlandia Caviar Selection – kaviaaria.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Finlandia Caviar	Mains	Save the date! 🥳 Finlandia Caviar birthday party	"Three days! On 9-11 of October we will celebrate our 9th birthday! Join us on this special day.

We will serve free desserts for all our guests who booked a table.

What other surprises and special prices we have prepared for you?

✔️Four Fine de Claire oysters: 9€

✔️ Six different oysters: 19€

✔️Set of three caviar caps: 19€

✔️Lobster roll 19€

❗️Important! We have limited amount of seats. Please make sure you book a table in advance."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Finlandia Caviar	Mains	KAVIAARI JA SAMPPANJAKEITTO	Kermainen keitto Finlandia Caviar Selection - kaviaarilla samppanjalla ja uppomunalla tarjollaan voissa pastetun vaalean paahtoleivän päältä	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Finlandia Caviar	Mains	TRYFFELIPASTA	Käsintehtyä tagliolini-pastaa, tryffelivoita, pecorino-juustoa, mustaa suolaa ja tuoreita tryffelilastuja.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Restaurant Armenian House	Starters	Täytetyt munakoisorullat	Paistettua munakoisoa, smetanaa, valkosipulia, yrttejä ja saksanpähkinää	['Gluten-free', 'Vegetarian']	menu_highlights
Restaurant Armenian House	Starters	Nrbablit	Rapeaksi paistetulla naudanjauhelihalla täytetty lettu	['Gluten-free', 'Vegetarian']	menu_highlights
Restaurant Armenian House	Mains	Khozi Khorovac	Savuuunissa grillattua porsaan kassleria, perunoita, tuoretta salaattia ja granaattiomenakastiketta	['Gluten-free', 'Vegetarian']	menu_highlights
Restaurant Armenian House	Mains	Arishta	Perinteinen armenialainen pasta, mauste-smetanakastike, parmesaaniraastetta	['Gluten-free', 'Vegetarian']	menu_highlights
Restaurant Armenian House	Mains	Pasuc Tolma		['Gluten-free', 'Vegetarian']	menu_highlights
Restaurant Armenian House	Shared Dishes	PÖYTÄ ARMENIALAISITTAIN! € 62	"PÖYTÄ ARMENIALAISITTAIN!
Tarjoamme vähintään neljälle hengelle aidon,
armenialaisen pöytäkattauksen täynnä
makuelämyksia ja armenialaista tunnelmaa. 
Kattaus sisältäa maukkaita ja monipuolisia alku- ja pääruokia
menustamme.

ALKURUOAT
Munakoisorullat (K,L,G), Adjika (V), Khaviar (V),
Basturma-Suchukh (M,G), Marinoidut vihannekset (V,G), Aveluk-salaatti (K,L,G), Amarain-salaatti (V,G), Lavash leipä (M).

PÄÄRUOAT
Khorovac khozi (M,G), Ailazan (V,G), Gavari
kana-qabab (M,G), Hacharov plav (K,L)!

Ryhmämenu sopii hyvin jaettavaksi seurueen
kesken. Tuomme ruoat pöydän keskelle nautittavaksenne armenialaisittain! Erikoisruokavaliot ja
allergiat otettu huomioon. Juomat tai jälkiruoat eivät sisälly hintaan (tilattavissa erikseen)."	['Gluten-free', 'Vegetarian']	menu_highlights
Restaurant Armenian House	Desserts	Gata	Perinteinen armenialainen leivonnainen, sis. pähkinää	['Gluten-free', 'Vegetarian']	menu_highlights
Restaurant Armenian House	Desserts	Suklainen Spartak-kakku		['Gluten-free', 'Vegetarian']	menu_highlights
The Alley	Small Plates	Shashlik Yakitori	Georgian grilled pork, brussel sprouts, smoked jus, pickled mustard seeds	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Alley	Small Plates	Salsa Macha roasted pumpkin	Roasted Hokkaido Pumpkin, Feta & Goat cheese, pumpkin seeds, salsa macha sauce	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Alley	Small Plates	Vendace Carpaccio	Smoked Vendace, fried capers, tomato carpaccio, mignonette	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Alley	Small Plates	The Pinecabe steak	Cabbage steak, fermented pineapple sauce, almond milk, poppy seeds (v/veg)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Alley	Small Plates	Croquetas de Birria	Birria beef, bechamel, salsa verde, aioli, pickled red onions	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Butter Boys	Starters	Bao Buns	"Tiger Prawns 
3 kpl Höyrysämpylöitä, Tiikeriravun pyrstöjä, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M) 
Candy Pork 
3 kpl Höyrysämpylöitä, Karamellisoitua possua, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M) 
Tofu Buns 
3 kpl Höyrysämpylöitä, Kylmäsavustettua tofua, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M, saatavilla VE)"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Butter Boys	Mains	GRILLED CHEESE VOL 2	Hapanjuustoleipää, Emmental-juustoa, Mozzarellajuustoa, parmesaania, karamellisoitua sipulia, paahdettua valkosipulivoita, pikkeleitä & Ranch-dippi (VL)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Butter Boys	Mains	TUNA MELT	Hapanjuurileipää, tonnikalaa, majoneesia, emmentaljuustoa, mozzarellajuustoa, parmesaania, varsiselleriä tilliä ja ranch-dippi.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Butter Boys	Mains	ANTHONY BOURDAIN	Perunasämpylä, 150g Mortadella-kinkkua, Provolone-juustoa ja hunajasinappi (sis pähkinää, saatavilla G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Butter Boys	Desserts	Mansikkapirtelö	Kermavaahtoa ja strösseliä (L,G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Butter Boys	Desserts	Sitruuna-lakritsi Creme brúlee ja Etelän Hetelmiä	L,G	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Butter Boys	Snacks	Tiikeriravun pyrstöjä	Paahdettua valkosipulivoita & Boys Jäm (L)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
The Butter Boys	Snacks	Patatas Bravas	Boys Jäm & Aiolia (L,G)	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Starters	Kasviscarpaccio ja kikhernekrutonkeja		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Starters	Vuohenjuustosalaatti, oman pellon kasviksia ja balsamicosiirappia		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Starters	Katkarapuskagen ja kylmäsavustettua kirjolohenmätiä		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Mains	Vuohenjuustosalaatti, oman pellon kasviksia ja balsamicosiirappia		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Mains	Hirssirisottoa, vegaanista juustoa ja oman pellon kasviksia		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Mains	Katkarapuskagen ja kylmäsavustettua kirjolohenmätiä		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Desserts	Oman pellon yrteillä maustettu crème brûlée		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Desserts	Suklaamoussea, kahvikakkua ja pekaanipähkinää		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola KuuKuu	Desserts	Sitruunamarenkipiirakkaa ja mustaherukkasorbettia		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Daily Dose	Starters	CARPACCIO DI MANZO (G, L)	100gr. raw beef fillet, meticulously sliced and marinated with salt, pepper, olive oil extra virgin, and Parmigiano Reggiano.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Daily Dose	Starters	GAMBERI PICCANTI (G, L)	Shrimps (ASC), pan-seared and served with a delicate sauce of olive oil extra virgin,  flavourful stock, and a hint of chili, finished with a vibrant roasted bell pepper purée.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Daily Dose	Starters	TARTALLETTE (L)	It is a flaky, golden crust filled with a savoury medley of seasonal vegetables as bell peppers, zucchini, yellow squash, eggplant, all seasoned with olive oil extra virgin, salt, and pepper.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Daily Dose	Mains	RISOTTO (G, F)	"Creamy Arborio rice simmered with white wine and Hokkaido pumpkin, mussels, butter, Pecorino
cheese, and a touch of black pepper."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Daily Dose	Mains	PASTA CON RAGU’ DI LENTICCHIE (V)(N)	Interlude pasta. Lentils Ragù is a hearty and flavourful dish that combines the rich, savoury taste of lentils with the comforting texture of pasta. The ragù is made with tomato-based sauce aromatic vegetables as onions, carrots, celery and walnuts.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Daily Dose	Mains	POLPO ALLA LUCIANA (L)	Octopus simmered in a tomatoes sauce, olives, capers, chili peppers, olive oil extra virgin and garlic. The slow-cooking method ensures the octopus becomes tender and absorbs the rich sauce.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Daily Dose	Desserts	TORTA DELLA NONNA (L)	Buttery pastry crust filled with a creamy custard made from eggs, milk, sugar, and flour. The top is adorned with pine nuts and dusted with powdered sugar.	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Daily Dose	Desserts	PANNACOTTA (V, G)	"A twist on the traditional panna cotta, this vegan version features the flavors of passion fruit and
coconut milk, set with agar-agar, and topped with meringue. Enjoy its silky, smooth texture that
closely mimics the original."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Passio	Set Menu	Tarjoilemme Passiossa 3 ja 5 ruokalajin yllätysmenuita	"3 ruokalajin menu 62.00€ + viinisuositukset 
 yhdelle 49€
5 ruokalajin menu 82.00€ + viinisuositukset yhdelle 69€

WE OFFER 3 AND 5 COURSE MENUS
3 course menu 62.00€ + wines 49€ (per person)
5 course menu 82.00€ + wines 69€ (per person)"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Passio	Beverages	Viinit	"Passion viinivalikoima koostuu itse maahantuoduista eurooppalaisista pientuottajaviineistä.

Our wine collection consist of self imported, European small and artisan produced wines."	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Ani	Starters	TURKKILAINEN MEZE -LAUTANEN (pieni)	"Humusta, papusalaattia, munakoisoa, bulguria,
viininlehtikääryleitä, fetaa sekä ezmeä ja haydaria"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Ani	Mains	VALKOSIPULIKANAA	"Valkosipulilla maustettua broilerivarrasta, riisiä
ja salaattia sekä haydaria"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Ani	Mains	ADANA KEBAB	"Chilillä ja paprikalla maustettua lampaan
jauhelihavarrasta grillattuna, lisäksi leipää ja salaattia"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Ravintola Ani	Mains	MIXED GRILL	"Broilerin ja karitsan sisäfilevarrasta,
haydaria ja ezmeä, lisäksi riisiä"	['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Pompier ESPA	Starters	Siikacrudo, fermentoitua tomaattilientä ja jalapeñoöljyä	Whitefish crudo, fermented tomato infusion and jalapeño oil	['Gluten-free', 'Vegetarian']	menu_highlights
Pompier ESPA	Starters	Härkätartar, karamellisoitua sipulimajoneesia ja pikkelöityjä viinirypäleitä	Beef tartare, caramelized onion mayonnaise and pickled grapes	['Gluten-free', 'Vegetarian']	menu_highlights
Pompier ESPA	Starters	Briossia, linnunmaksamoussea ja luumua	Brioche, chicken liver mousse and plum	['Gluten-free', 'Vegetarian']	menu_highlights
Pompier ESPA	Mains	Paistettua kuhaa, suolasitruuna- beurre blanc ja salottisipuliconfit	Pan fried pike perch, preserved lemon beurre blanc and shallot confit	['Gluten-free', 'Vegetarian']	menu_highlights
Pompier ESPA	Mains	Perunagnoccheja ”melanzane” ja burratajuustoa	Potato gnocchi “melanzane” and burrata	['Gluten-free', 'Vegetarian']	menu_highlights
Pompier ESPA	Desserts	Tarte Tatin, kinuskia ja vaniljajäätelöä	Tarte Tatin, caramel sauce and vanilla ice cream	['Gluten-free', 'Vegetarian']	menu_highlights
Pompier ESPA	Desserts	Appelsiinikakkua ja Timut-pippuriranskankermaa	Orange cake and Timut pepper crème fraîche	['Gluten-free', 'Vegetarian']	menu_highlights
Gastro Cafe Kallio	Mains	Päivittäin vaihtuva menu		['Vegetarian']	menu_highlights
Georgian Kitchen	Starters	Kasvissalaatti saksanpähkinällä	Kurkkua, tomaattia, punasipulia, georgialaisia mausteita ja yrttejä, saksanpähkinää, granaattiomenaa.L, G, V	['Vegetarian']	menu_highlights
Georgian Kitchen	Starters	Pkhali valikoima	"Saksanpähkinää, pinaattia, papuja, punajuurta, georgialaisia mausteita ja yrttejä.
L, G, V"	['Vegetarian']	menu_highlights
Georgian Kitchen	Starters	Munakoisorullia ”Badrizhani”	"Munakoisoa, saksanpähkinää, sipulia, valkosipulia, georgialaisia mausteita ja yrttejä.
L, G, V"	['Vegetarian']	menu_highlights
Georgian Kitchen	Mains	Lihakhinkali	"Naudan- ja sianlihalla täytetyt taikinanyytit
L"	['Vegetarian']	menu_highlights
Georgian Kitchen	Mains	Sienichashushuli	Sieniä, tomaattia, sipulia, valkosipulia, georgialaisia mausteita ja yrttejäL, G, V	['Vegetarian']	menu_highlights
Georgian Kitchen	Mains	Lohi	"Lohifilee, sitruunaa, salaattisekoitus, kirsikkatomaattia, balsamico
L, G"	['Vegetarian']	menu_highlights
Georgian Kitchen	Desserts	Pelamushi	"Rypälemehusta valmistettu georgialainen jälkiruoka ja jäätelöä
L, G, V"	['Vegetarian']	menu_highlights
Georgian Kitchen	Desserts	Päärynää punaviinissä	Päärynää, saksanpähkinää, hasselpähkinää, kaneliaL, G, V	['Vegetarian']	menu_highlights
Georgian Kitchen	Desserts	"""Napoleon"" kakku"		['Vegetarian']	menu_highlights
Levant Bulevardi	Mains	Meze Levant	FALAFEL, HUMMUS, TABBOULEH, BABA GANOUSH, TOMAATTIPAPU	['Gluten-free', 'Halal', 'Vegan', 'Vegetarian']	menu_highlights
Levant Bulevardi	Mains	Meze Vegan	FALAFEL, HUMMUS, MARINOIDUT KASVIKSET, TABBOULEH, BABA GANOUSH	['Gluten-free', 'Halal', 'Vegan', 'Vegetarian']	menu_highlights
Levant Bulevardi	Mains	Levant Original (Grillattu falafelrulla)		['Gluten-free', 'Halal', 'Vegan', 'Vegetarian']	menu_highlights
Three Belly’s Pizza	Antipasti	Chupa dedo olives		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Three Belly’s Pizza	Antipasti	Taleggio piacere		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
Three Belly’s Pizza	Antipasti	House pastrami		['Gluten-free', 'Vegan', 'Vegetarian']	menu_highlights
