	Name	Location	Cuisine	Meals	Price Level (out of 4)	Rating (out of 6)	Review Count	Page URL
0	Luovuus kukkii kaaoksesta	Kaartinkaupunki 	International	Dinner	0	5.8		/en/place/luovuus-kukkii-kaaoksesta-90397/menu
1	Ravintola MyStuu	Punavuori 	Swiss	Lunch, Dessert, Dinner	0	5.6		/en/place/ravintola-my-stuu-98898/menu
2	Gaucho	City Centre 	Brazilian	Dinner	0	5.6		/en/place/gaucho-105125/menu
3	Finlandia Caviar	City Centre 	Gourmet	Lunch, Dinner	0	5.6		/en/place/finlandia-caviar-15896/menu
4	Restaurant Armenian House	Kamppi 	International	Lunch, Dinner	0	5.6		/en/place/armenian-house-55148/menu
5	The Alley	Kallio 	Fusion	Brunch, Dinner	0	5.6		/en/place/the-alley-105859/menu
6	The Butter Boys	Sörnäinen 	International	Lunch, Dessert, Brunch, Dinner	0	5.7		/en/place/the-butter-boys-105313/menu
7	Ravintola KuuKuu	Töölö 	Scandinavian	Lunch, Dessert, Dinner	0	5.5		/en/place/ravintola-kuukuu-19730/menu
8	Daily Dose	Kallio 	Italian	Lunch, Dinner	0	5.6		/en/place/daily-dose-62737/menu
9	Passio	Kamppi 	Finnish	Dinner	0	5.3		/en/place/passio-keittio-ja-baari-59147/menu
10	Ravintola Ani	Munkkisaari 	Turkish	Lunch, Dinner	0	5.4		/en/place/ravintola-ani-59172/menu
11	Pompier ESPA	Kaartinkaupunki 	International	Lunch, Brunch, Dinner	0	5.5		/en/place/pompier-espa-19553/menu
12	Gastro Cafe Kallio	Kallio 	European	Lunch, Dinner, Sunday lunch	0	5.6		/en/place/gastro-cafe-kallio-92196/menu
13	Georgian Kitchen	Punavuori 	Georgian	Dinner	0	5.5		/en/place/georgian-kitchen-63457/menu
14	Levant Bulevardi	City Centre 	Middle Eastern	Lunch, Dinner	0	5.3		/en/place/levant-bulevardi-95447/menu
15	Three Belly’s Pizza	Töölö 	Pizza	Dinner	0	5.5		/en/place/three-bellys-pizza-99263/menu
16	Osteria dei Mancini	Punavuori 	Italian	Dessert, Dinner	0	5.4		/en/place/osteria-dei-mancini-104058/about
17	Ravintola Kuu	Töölö 	Scandinavian	Dessert, Dinner	0	5.4		/en/place/ravintola-kuu-19834/menu
18	Saiko Robata	Kamppi 	Japanese	Dinner	0	5.5		/en/place/saiko-robata-102792/about
19	Rioni Helsinki	Kaartinkaupunki 	Georgian	Lunch, Dinner	0	5.4		/en/place/rioni-helsinki-93704/menu
20	John Scott's Arkadia	City Centre 	International	Lunch, Dinner, Sunday lunch	0	5.4		/en/place/john-scotts-arkadia-96592/menu
21	Ravintola Muru	City Centre 	French	Dinner	0	5.4		/en/place/ravintola-muru-9646/menu
22	Shabu House	Kallio 	Korean	Buffet, Lunch, Dinner	0	5.4		/en/place/shabu-house-98117/menu
23	Osteria dei Gusti	Töölö 	Italian	Lunch, Dinner	0	5.3		/en/place/osteria-dei-gusti-94371/menu
24	Lappi Ravintola	City Centre 	Finnish	Dessert, Dinner	0	5.3		/en/place/lappi-ravintola-9753/menu
25	Ravintola Kabuki	Kamppi 	Japanese	Lunch, Dinner	0	5.3		/en/place/ravintola-kabuki-64813/menu
26	Yeastie Boi	Kamppi 	Eat & Drink	Lunch, Dinner	0	5.5		/en/place/yeastie-boi-98651/menu
27	Ravintola Lehtovaara	Töölö 	International	Lunch, Dinner	0	5.4		/en/place/ravintola-lehtovaara-11619/menu
28	Winest	City Centre 	Drinks	Dinner	0	5.3		/en/place/winest-101709/menu
29	Piccola Trattoria Kalasatama	Kalasatama 	Italian	Lunch, Dinner	0	5.5		/en/place/piccola-trattoria-kalasatama-100346/menu
30	Oishi 18 Katajanokka	Katajanokka 	Sushi	Lunch, Dinner	0	5.3		/en/place/oishi-18-katajanokka-95412/menu
31	Noodle Story Freda	Kamppi 	Asian	Lunch, Dinner	0	5.4		/en/place/noodle-story-freda-94139/menu
32	Lie Mi Töölö	Töölö 	Vietnamese	Lunch, Dinner	0	5.3		/en/place/lie-mi-toolo-85623/menu
33	Oishi 18 Kallio	Kallio 	Sushi	Lunch, Dinner	0	5.3		/en/place/oishi-18-kallio-95411/menu
34	OPPA Korean BBQ Kluuvi	City Centre 	Korean	Lunch, Dinner	0	5.3		/en/place/oppa-korean-bbq-kluuvi-93306/menu
35	Oishi 18 Töölö	Töölö 	Sushi	Dinner	0	5.3		/en/place/oishi18-toolo-102144/about
36	OPPA Korean BBQ Kaisaniemi	Kaisaniemi 	Korean	Dinner	0	5.1		/en/place/oppa-korean-bbq-kaisaniemi-93303/menu
37	GOODWIN The Steak House	City Centre 	Steak	Lunch, Dessert, Dinner	0	5.2		/en/place/goodwin-the-steak-house-33416/menu
38	Lie Mi Kamppi	Kamppi 	Vietnamese	Lunch, Dinner	0	5.3		/en/place/lie-mi-kamppi-105063/menu
39	Gastro Hub	City Centre 	Georgian	Lunch, Dessert, Dinner	0	5.2		/en/place/gastro-hub-101348/menu
40	Konstan Möljä	Kamppi 	Scandinavian	Buffet	0	5.2		/en/place/konstan-molja-86945/menu
41	Ravintola Segreto	Kallio 	Italian	Dinner	0	5.2		/en/place/ravintola-segreto-103744/menu
42	Alfons Pizza	Ullanlinna 	Pizza	Dinner	0	5.3		/en/place/alfons-pizza-102482/menu
43	Itsudemo Helsinki	Kamppi 	Sushi	Buffet, Lunch, Dessert, Dinner	0	5.2		/en/place/itsudemo-helsinki-55099/menu
44	Mizore Sushi & Sticks	Sörnäinen 	Sushi	Lunch, Dinner	0	5.1		/en/place/mizore-sushi-sticks-106386/menu
45	Lie Mi Kallio	Kallio 	Vietnamese	Lunch, Dinner	0	5.2		/en/place/lie-mi-kallio-64811/about
46	Ravintola Domo	City Centre 	Japanese	Lunch, Dessert, Dinner	0	5.2		/en/place/ravintola-domo-9985/menu
47	Ravintola Pastis	Kaartinkaupunki 	French	Lunch, Dessert, Dinner	0	5.2		/en/place/ravintola-pastis-9647/about
48	Be My Guest	Jätkäsaari 	Vietnamese	Lunch, Dinner	0	5.3		/en/place/be-my-guest-90739/menu
49	Locanda Scappi	Katajanokka 	Italian	Breakfast, Lunch, Dinner	0	5.2		/en/place/locanda-scappi-56071/menu
50	Retro Enoteca	Kaisaniemi 	Italian	Dinner	0	5.1		/en/place/retro-enoteca-103875/menu
51	Vibami - Vietnamese Kitchen	City Centre 	Vietnamese	Lunch, Dinner	0	5.2		/en/place/vibami-vietnamese-kitchen-94863/menu
52	Mauritz	Munkkiniemi 	European	Lunch, Dinner	0	5.4		/en/place/mauritz-94400/menu
53	Ravintola Carelia	Töölö 	French	Dessert, Dinner	0	5.1		/en/place/ravintola-carelia-9774/about
54	Ristorante Il Trio	Töölö 	Italian	Lunch, Dessert, Dinner	0	5.2		/en/place/ristorante-il-trio-54885/menu
55	The Tart	Kaartinkaupunki 	International	Lunch, Dessert, Dinner	0	5.2		/en/place/the-tart-108248/menu
56	Restaurant BRO	Hakaniemi 	Italian	Breakfast, Dessert, Brunch, Dinner	0	5.1		/en/place/pizzorante-bro-hilton-strand-63298/menu
57	Bistro Le Coin	Hakaniemi 	French	Lunch, Dinner	0	5.1		/en/place/bistro-le-coin-98760/menu
58	Ravintola Santa Fé Helsinki	City Centre 	Mexican	Lunch, Dinner	0	5.1		/en/place/ravintola-santa-fe-30462/menu
59	Treffi Verkkosaari	Kalasatama 	Eat & Drink	Lunch, Dinner	0	5.3		/en/place/treffi-verkkosaari-103754/menu
60	MorriSon's Helsinki	City Centre 	International	Lunch, Dinner	0	5.1		/en/place/morrisons-helsinki-30468/menu
61	Il Siciliano Espa	City Centre 	Italian	Lunch, Dessert, Dinner	0	5.1		/en/place/il-siciliano-espa-86935/menu
62	Viinibaari Apotek / Wine Bar Apotek	Kamppi 	Eat & Drink	Dinner	0	5.4		/en/place/viinibaari-apotek-wine-bar-apotek-107481/menu
63	Marski by Scandic Breakfast	City Centre 	Scandinavian	Breakfast	0	5.1		/en/place/marski-scandic-marski-86434/about
64	Kissakahvila Helkatti	Kamppi 	Eat & Drink	Lunch, Cake & Coffee	0	5.0		/en/place/kissakahvila-helkatti-106475/menu
65	Ravintola Georgian Vibe	Sörnäinen 	Georgian	Lunch, Dessert, Dinner	0	5.1		/en/place/ravintola-georgian-vibe-88735/menu
66	Siipiweikot Kamppi	Kamppi 	International	Lunch, Dinner	0	5.5		/en/place/siipiweikot-kamppi-100506/menu
67	Georgian Supra	Sörnäinen 	Georgian	Lunch, Dinner	0	5.7		/en/place/georgian-supra-107930/menu
68	Pueblo Bar y Taqueria	Kamppi 	Mexican	Dessert, Dinner	0	5.0		/en/place/pueblo-bar-y-taqueria-51880/menu
69	Brokadi Tripla	Pasila 	Chinese	Lunch, Dinner	0	5.2		/en/place/ravintola-brokadi-tripla-62705/menu
70	Capperi - Tripla	Pasila 	Italian	Lunch, Dinner	0	5.2		/en/place/capperi-tripla-59082/menu
71	Ravintola Central	Ullanlinna 	International	Lunch, Dinner	0	5.0		/en/place/ravintola-central-60734/menu
72	Mamma Rosa	Töölö 	International	Lunch, Dinner	0	5.0		/en/place/mamma-rosa-24808/menu
73	Pomo D'Or Hietalahti	Hietalahti 	Italian	Lunch, Dessert, Dinner	0	5.5		/en/place/pomo-dor-hietalahti-106599/menu
74	Meripaviljonki	Hakaniemi 	Seafood	Lunch, Dinner	0	5.0		/en/place/meripaviljonki-30392/about
75	Zaap Isan Thai Streetfood Töölönlahti	City Centre 	Thai	Lunch, Dessert, Dinner	0	5.0		/en/place/zaap-isan-thai-streetfood-toolonlahti-98510/about
76	Alice Italian	Vallila 	Italian	Breakfast, Lunch, Dinner	0	5.0		/en/place/alice-italian-48550/about
77	Tinku Café Bar	Töölö 	Latin American	Lunch, Dinner, Cake & Coffee	0	5.0		/en/place/tinku-cafe-bar-103705/menu
78	Brasserie Grand	City Centre 	European	Dessert, Dinner	0	4.8		/en/place/scandic-grand-central-helsinki-87878/menu
79	Victors Krog	Eteläranta 	Finnish	Lunch, Dinner	0	5.1		/en/place/victors-krog-107015/menu
80	Version	Kaartinkaupunki 	Eat & Drink	Breakfast, Lunch, Dinner	0	4.9		/en/place/version-89835/menu
81	Vinolito Wine & Tapas	Kallio 	Eat & Drink	Tapas, Dessert	0	5.1		/en/place/vinolito-wine-tapas-98939/about
82	Block By Dylan	City Centre 	International	Breakfast, Buffet, Lunch, Brunch	0	4.9		/en/place/block-by-dylan-16710/menu
83	Lie Mi Bulevardi	City Centre 	Vietnamese	Lunch, Dinner	0	4.9		/en/place/lie-mi-bulevardi-64812/menu
84	Kuusi Palaa	City Centre 	Nordic	Dessert, Dinner	0	4.8		/en/place/ravintola-kuusi-palaa-scandic-marski-63294/menu
85	Cafe Bar No 9	Punavuori 	International	Lunch, Dinner	0	4.9		/en/place/cafe-bar-no-9-94429/menu
